input,category
Hello,greeting
Hi,greeting
How are you?,greeting
What's up?,greeting
I have a question.,help
I need help.,help
What can you do?,help
What can I ask you?,help
Help me,help
Help,help
Thank you,thanks
Thanks,thanks
You've been very helpful!,thanks
Great job,thanks
Bye,sendoff
Goodbye,sendoff
Thank you goodbye,sendoff
See you later,sendoff
"Hello, I have a question about my startup.",help
Howdy,greeting
yo,greeting
Later,sendoff
You have helped me so much!,thanks
You really helped me,thanks
Thanks a lot!,thanks
Thank you for helping me,thanks
